og_name,refseq
OG0000714,NP_000618
OG0000714,NP_001159736
OG0000714,NP_001159737
OG0000714,NP_001159738
OG0000714,NP_001381834
OG0000714,NP_001381835
OG0000714,NP_001381836
OG0000714,NP_001381837
OG0000714,NP_001381838
OG0000714,NP_001381839
OG0000714,NP_001381840
OG0000714,NP_001381841
OG0000714,NP_001381842
OG0000714,NP_001381843
OG0000714,NP_001381844
OG0000714,NP_001381845
OG0000714,NP_001381846
OG0000714,NP_001381847
OG0000714,NP_001381848
OG0000714,NP_001381849
OG0000714,NP_001381850
OG0000714,NP_001381852
OG0000714,NP_001381853
OG0000714,NP_001381854
OG0000714,NP_001381855
OG0000714,NP_001381856
OG0000714,NP_996826
OG0000714,XP_005264375
OG0000714,XP_011531155
OG0000714,XP_011531157
OG0000714,XP_011531158
OG0000714,XP_011531159
OG0000714,XP_011531160
OG0000714,XP_011531161
OG0000714,XP_011531162
OG0000714,XP_011531163
OG0000714,XP_011531164
OG0000714,XP_016859597
OG0000714,XP_016859598
OG0000714,XP_016859599
OG0000714,XP_024308656
OG0000714,XP_024308657
OG0000714,NP_001318162
OG0000714,NP_001318163
OG0000714,NP_001318164
OG0000714,NP_001318165
OG0000714,NP_001318166
OG0000714,NP_064303
OG0000714,NP_996841
OG0000714,XP_006524411
OG0000714,XP_006524412
OG0000714,XP_006524413
OG0000714,XP_006524414
OG0000714,XP_006524416
OG0000714,XP_017172982
OG0000714,XP_030105691
OG0000714,XP_036016524
OG0000714,XP_004914723
OG0000714,XP_012819247
OG0000714,XP_012819248
OG0000714,XP_031757854
OG0000714,NP_001096561
OG0000714,XP_024854254
OG0000714,XP_024854255
OG0000714,XP_024854256
OG0000714,XP_024854257
OG0000714,XP_024854258
OG0000714,XP_024854259
OG0000714,XP_024854260
OG0000714,XP_024854261
OG0000714,XP_024854262
OG0000714,NP_001269537
OG0000714,XP_003641028
OG0000714,XP_015139206
OG0000714,XP_015139207
OG0000714,XP_015139208
OG0000714,XP_015139209
OG0000714,XP_015139210
OG0000714,XP_015139211
OG0000714,XP_025004462
OG0000714,XP_040553022
OG0007964,NP_001036009
OG0007964,NP_001036010
OG0007964,NP_003564
OG0007964,NP_001107021
OG0007964,NP_001297607
OG0007964,NP_783572
OG0007964,XP_006539520
OG0007964,XP_006539521
OG0007964,XP_030097832
OG0007964,XP_036008456
OG0007964,XP_021323601
OG0007964,XP_031747134
OG0007964,XP_031747135
OG0007964,XP_031747136
OG0007964,XP_031747137
OG0007964,XP_031747138
OG0007964,XP_031747139
OG0007964,XP_024834858
OG0007964,XP_024834859
no_og,
